hjres94-111	Michaud, Michael H.	0
hjres95-111	Minnick, Walter	0
hjres96-111	Price, Tom	0
hjres97-111	Gingrey, Phil	0
hjres98-111	Deutch, Theodore E.	0
hjres99-111	Weiner, Anthony D.	0
hr1-111	Obey, David R.	1
hr100-111	Dreier, David	0
hr1000-111	Salazar, John T.	0
hr1001-111	Shadegg, John B.	0
hr1002-111	Shuler, Heath	0
hr1003-111	Smith, Christopher H.	0
hr1004-111	Smith, Christopher H.	0
hr1005-111	Smith, Christopher H.	0
hr1006-111	Stupak, Bart	0
hr1007-111	Thompson, Bennie G.	0
hr1008-111	Thompson, Bennie G.	0
hr1009-111	Lipinski, Daniel	0
hr101-111	Dreier, David	0
hr1010-111	Rahall, Nick J., II	0
hr1011-111	Green, Gene	0
hr1012-111	Cole, Tom	0
hr1013-111	Cummings, Elijah E.	0
hr1014-111	Gohmert, Louie	0
hr1015-111	Gohmert, Louie	0
hr1016-111	Filner, Bob	1
hr1017-111	Filner, Bob	0
hr1018-111	Rahall, Nick J., II	0
hr1019-111	Conyers, John, Jr.	0
hr102-111	Dreier, David	0
hr1020-111	"Johnson, Henry C. ""Hank,"" Jr."	0
hr1021-111	Green, Gene	0
hr1022-111	Schiff, Adam B.	0
hr1023-111	Sullivan, John	0
hr1024-111	Nadler, Jerrold	0
hr1025-111	Becerra, Xavier	0
hr1026-111	Hunter, Duncan D.	0
hr1027-111	Posey, Bill	0
hr1028-111	Roybal-Allard, Lucille	0
hr1029-111	Hill, Baron P.	0
hr103-111	Conyers, John, Jr.	0
hr1030-111	Brady, Kevin	0
hr1031-111	Burgess, Michael C.	0
hr1032-111	Capps, Lois	0
hr1033-111	Cohen, Steve	0
hr1034-111	Forbes, J. Randy	0
hr1035-111	Grijalva, Raul M.	0
hr1036-111	Herseth Sandlin, Stephanie	0
hr1037-111	Herseth Sandlin, Stephanie	0
hr1038-111	Hirono, Mazie K.	0
hr1039-111	Johnson, Sam	0
hr104-111	Conyers, John, Jr.	0
hr1040-111	Burgess, Michael C.	0
hr1041-111	Melancon, Charlie	0
hr1042-111	Miller, Jeff	0
hr1043-111	Miller, George	0
hr1044-111	Miller, George	0
hr1045-111	Norton, Eleanor Holmes	0
hr1046-111	Putnam, Adam H.	0
hr1047-111	Sestak, Joe	0
hr1048-111	Sires, Albio	0
hr1049-111	Stupak, Bart	0
hr105-111	Conyers, John, Jr.	0
hr1050-111	Stupak, Bart	0
hr1051-111	Tanner, John S.	0
hr1052-111	Tauscher, Ellen O.	0
hr1053-111	Wittman, Robert J.	0
hr1054-111	Young, Don	0
hr1055-111	Young, Don	0
hr1056-111	DeGette, Diana	0
hr1057-111	Herger, Wally	0
hr1058-111	Franks, Trent	0
hr1059-111	Blackburn, Marsha	0
hr106-111	Fattah, Chaka	0
hr1060-111	Gonzalez, Charles A.	0
hr1061-111	Dicks, Norman D.	1
hr1062-111	Ros-Lehtinen, Ileana	0
hr1063-111	Hensarling, Jeb	0
hr1064-111	"Scott, Robert C. ""Bobby"""	0
hr1065-111	Kirkpatrick, Ann	0
hr1066-111	Farr, Sam	0
hr1067-111	Hall, Ralph M.	0
hr1068-111	DeFazio, Peter A.	0
hr1069-111	Calvert, Ken	0
hr107-111	Flake, Jeff	0
hr1070-111	Jones, Walter B., Jr.	0
hr1071-111	Thompson, Glenn	0
hr1072-111	Ros-Lehtinen, Ileana	0
hr1073-111	Rooney, Thomas J.	0
hr1074-111	Scalise, Steve	0
hr1075-111	Scalise, Steve	0
hr1076-111	Smith, Lamar	0
hr1077-111	Ross, Mike	0
hr1078-111	Arcuri, Michael A.	0
hr1079-111	Baird, Brian	0
hr108-111	Fortenberry, Jeff	0
hr1080-111	Bordallo, Madeleine Z.	0
hr1081-111	Berry, Marion	0
hr1082-111	Boren, Dan	0
hr1083-111	Boucher, Rick	0
hr1084-111	Eshoo, Anna G.	0
hr1085-111	Eshoo, Anna G.	0
hr1086-111	Gingrey, Phil	0
hr1087-111	Gingrey, Phil	0
hr1088-111	Herseth Sandlin, Stephanie	0
hr1089-111	Herseth Sandlin, Stephanie	0
hr109-111	Fortenberry, Jeff	0
hr1090-111	Hill, Baron P.	0
hr1091-111	Honda, Michael M.	0
hr1092-111	Kagen, Steve	0
hr1093-111	Lewis, John	0
hr1094-111	Lewis, John	0
hr1095-111	Maloney, Carolyn B.	0
hr1096-111	Marshall, Jim	0
hr1097-111	Paul, Ron	0
hr1098-111	Perriello, Thomas S.P.	0
hr1099-111	Sires, Albio	0
hr11-111	Miller, George	0
hr110-111	Fortenberry, Jeff	0
hr1100-111	Tauscher, Ellen O.	0
hr1101-111	Towns, Edolphus	0
hr1102-111	Van Hollen, Chris	0
hr1103-111	Wexler, Robert	0
hr1104-111	Lofgren, Zoe	0
hr1105-111	Obey, David R.	1
hr1106-111	Conyers, John, Jr.	0
hr1107-111	Conyers, John, Jr.	1
hr1108-111	Scalise, Steve	0
hr1109-111	Rahall, Nick J., II	0
